Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,Redhills - Thiruvallur High Rd,,"Redhills - Thiruvallur High Rd, Tamil Nadu, India",Yes,No,Yes,No,
,,913 NJ-23 Suite 101,,"913 NJ-23 Suite 101, Pompton Plains, NJ 07444, USA",Yes,Yes,Yes,No,
,,1st Main Rd,,"1st Main Rd, Manthoppu Nagar, Ambattur, Chennai, Tamil Nadu 600053, India",Yes,No,Yes,No,
,,Core Wellness,(929) 200-8882,"150-07 Bayside Ave #1FL, Flushing, NY 11354, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,,,,,,,N/A,No result found
,,3310 8 St E,,"3310 8 St E, Saskatoon, SK S7H 4Y1, Canada",Yes,No,Yes,No,
,,NEW BORN CAKES - A Premium cake factory,099622 07093,"25, Arunachalam Rd, Pushpa Colony, Vadapalani, Chennai, Tamil Nadu 600026, India",Yes,No,Yes,No,
,,"119, 33rd St",,"119, 33rd St, TNHB Colony, Villivakkam, Chennai, Tamil Nadu 600049, India",Yes,No,Yes,No,
,,HW94+H3H Centre Nongrim Hills,,"HW94+H3H Centre Nongrim Hills, Nongrimbah, Shillong, Meghalaya 793003, India",Yes,Yes,Yes,No,
,,Titanic Museum Attraction,(417) 334-9500,"2134 Parkway, Pigeon Forge, TN 37863, USA",Yes,Yes,Yes,No,
,,Airports Authority of India Operational Offices,044 2256 1122,"Chennai International Airport, X5M9+GGM, Grand Southern Trunk Rd, next to New Terminal, Meenambakkam, Chennai, Tamil Nadu 600016, India",Yes,No,Yes,No,
,,The George,,"The George, 506 Fulham Rd., London SW6 5NJ, UK",Yes,No,Yes,No,
,,Smith St,,"Smith St, Express Estate, Royapettah, Chennai, Tamil Nadu, India",Yes,No,Yes,No,
